N,T,Y_C2H4
0,351.98264,0.9883832
1,352.27002,0.9878066
2,352.81223,0.9866802
3,353.59827,0.98495114
4,354.62378,0.9825129
5,355.88513,0.9792082
6,357.37762,0.97482175
7,359.09476,0.9690687
8,361.02716,0.96158254
9,363.16223,0.9519047
10,365.48315,0.9394817
11,367.96878,0.9236749
12,370.52396,0.9067622
13,373.22055,0.8849824
14,376.01154,0.85581756
15,378.8528,0.8186413
16,381.71896,0.772273
17,384.59454,0.7146325
18,387.4593,0.641379
19,390.1615,0.5441935
20,353.2318,0.98390573
21,353.51663,0.9831103
22,354.0532,0.98155856
23,354.8293,0.9791824
24,355.83862,0.9758426
25,357.07477,0.9713352
26,358.5297,0.9653829
27,360.19263,0.95762235
28,362.04913,0.94759136
29,364.08014,0.93472326
30,366.2603,0.9183749
31,368.4861,0.9008056
32,370.81653,0.87795365
33,373.1971,0.847041
34,375.55164,0.808428
35,377.8177,0.760914
36,379.915,0.70299107
37,381.72693,0.63356525
38,383.10892,0.5506508
39,383.79034,0.45414114
40,354.43594,0.9781747
41,354.71655,0.97710514
42,355.24432,0.9750228
43,356.00552,0.97184384
44,356.99152,0.967395
45,358.19275,0.9614238
46,359.5972,0.9535891
47,361.18933,0.9434428
48,362.9498,0.93039477
49,364.85645,0.913632
50,366.79395,0.89564466
51,368.8172,0.8725368
52,370.8706,0.8415044
53,372.86978,0.8033747
54,374.73236,0.7572062
55,376.3824,0.70174843
56,377.69583,0.63669306
57,378.52753,0.5621059
58,378.6924,0.47892234
59,377.95328,0.38991296
60,355.58344,0.9710356
61,355.85806,0.969634
62,356.37344,0.96691144
63,357.11423,0.9627721
64,358.069,0.95701313
65,359.2245,0.9493473
66,360.56335,0.939407
67,362.0627,0.92675716
68,363.69125,0.9109439
69,365.404,0.89164007
70,367.16684,0.8688515
71,368.96033,0.8382186
72,370.6885,0.8011175
73,372.26514,0.75704706
74,373.63617,0.7043548
75,374.6738,0.6434292
76,375.25272,0.5746265
