mixF,x (m),u (m/s),strain (1/s),T (K),density (kg/m^3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
1.0,0.0,1.2275797077388428,-4.747287704819514e-21,300.0,1.1768085990313188,7.965422190405883e-19,4.631583949469867e-48,1.9308325026610456e-28,0.23195746469599257,3.195534203917382e-28,2.0567948516603457e-28,1.8232907792162724e-33,5.636305752740366e-33,4.211651431735122e-58,-2.3319281745312406e-84,3.944568574498675e-58,-1.1886069433938672e-63,1.1787073646295946e-41,1.6359832856616153e-37,2.866066521403735e-31,4.736420223217497e-34,1.0945115579474343e-70,4.670134804180385e-44,2.811965775201143e-71,4.838728954949906e-59,3.003381068462813e-44,6.274969557386439e-84,4.655452375930896e-46,2.10816886036873e-76,7.902765731297001e-47,-1.296106565832437e-55,-3.50044250981036e-46,8.782445525791228e-74,7.409106618590285e-48,1.2185065805427067e-50,2.447466453709826e-40,1.6154171666069383e-55,4.069092075022412e-34,8.375360391684494e-38,1.6148127722135907e-56,2.6277917913476908e-33,1.3397379510130884e-35,4.39274357262998e-39,3.3008806120666237e-37,4.685915140536143e-69,4.9234201513984025e-40,3.3390691042775494e-43,-1.9014781770483112e-84,5.612903900335069e-43,8.749874370309014e-43,1.8096052145976216e-40,2.8044772281457348e-43,0.7542529753388488,0.013789559965158682,1.1815700827018872e-61,2.4607214564269775e-62,8.971639129986974e-73,4.158414994924815e-52
1.0,0.0005,1.2218161211843732,11.527173108995859,300.00000000000404,1.1768085990313188,3.0068595284656365e-16,2.5220906182184448e-17,9.09599244816005e-20,-1.7131455453957264e-16,-1.5187933038239287e-16,-5.930130991386555e-18,3.165815992995183e-24,-3.228474665142481e-18,2.7217023455479257e-17,3.8226703278842543e-16,-2.2995396489416813e-18,3.139120672369913e-16,2.799342098252159e-17,0.999999999999998,9.847175472078544e-19,1.1086286601135568e-17,-2.8979625478232457e-18,-6.543580920164432e-16,-6.148649141034008e-29,1.273138042197303e-19,-7.112693625139509e-16,6.201715168425697e-16,-5.204688330720771e-22,8.676016632507536e-16,3.4995711517361413e-17,6.3618187400663665e-19,6.227411756179267e-19,-2.360567727292857e-22,-2.8085437684771072e-18,3.105439932017312e-16,1.7540321336437704e-16,-5.720384910521671e-16,-3.1384946686927145e-16,7.826429286739989e-16,-3.901516381617904e-40,2.1709646912151203e-16,-1.1959880186309136e-17,5.98762646601747e-16,-9.30793838916129e-17,-3.1737093487999466e-21,-3.232939640471896e-16,5.656214616765434e-21,-9.944613274275016e-25,3.445616670299585e-17,8.406417278086648e-20,7.195931301589268e-16,-1.0053392530760804e-23,2.3465471079162327e-19,6.867476261342876e-19,7.133672903989776e-22,-6.556365423892092e-16,-1.812606918260978e-18,-8.26907462603439e-18
1.0,0.001,1.2045253615209912,23.054346217991995,300.00000000000426,1.1768085990313188,1.710506405665943e-15,5.147527840818285e-17,8.68114666971978e-20,-1.7131455091322481e-16,-1.937239753027841e-18,-1.673243274673718e-16,3.1408512958786725e-24,-3.2284746586237136e-18,2.7217023377890078e-17,4.053991789718202e-22,-2.291566142384758e-18,4.710515054261962e-22,7.748973762315417e-16,0.9999999999999957,9.84707093897664e-19,1.1086286744164512e-17,-2.8979399697729955e-18,-6.543580922491566e-16,-3.072584294362593e-29,1.273025913590876e-19,-7.112693515451653e-16,6.201715138516091e-16,-5.132519734101067e-22,4.623554659757873e-16,1.3033110171026418e-15,6.361820254598392e-19,1.7868861870844995e-17,-2.3527937199499957e-22,-2.808543670011561e-18,3.105439931212341e-16,1.7540320837604726e-16,-5.72038492822142e-16,-3.138494644199826e-16,7.826429319365493e-16,-1.1194159791583455e-38,2.1709646946395083e-16,-1.1959880178408522e-17,5.987626447417327e-16,-9.307938404799441e-17,-3.1737060068837203e-21,-3.2329396266854235e-16,5.661364192602147e-21,-8.620883816713041e-25,3.445616676446547e-17,8.406417162114651e-20,7.195931293991193e-16,-1.0053394543433597e-23,2.3488151615456607e-19,6.867502565794267e-19,7.133673136489317e-22,-6.556365414053529e-16,-1.812607074255172e-18,-8.269074635599981e-18
1.0,0.0015,1.175707428749497,34.58151932698914,300.0000000000045,1.1768085990313188,1.4797364871478332e-14,5.1257588112574685e-17,8.27965867881255e-20,-1.7131448731376414e-16,-2.4331656636626502e-20,-1.6937743368150663e-16,3.118684294116414e-24,-3.228474650823973e-18,2.7217023292491433e-17,4.241766163439736e-28,-2.2835034092526293e-18,6.972179189402171e-28,8.709301241283457e-16,0.9999999999999825,9.851388024957217e-19,1.1086291609512086e-17,-2.8979170108721207e-18,-6.543580924470999e-16,-2.4225081414851903e-29,1.2729121539331475e-19,-7.112693404635713e-16,6.201715100338683e-16,-5.045241364528152e-22,2.447773148211616e-16,1.529091099620245e-15,6.361822342178198e-19,4.16337618754556e-17,-2.3449607049751804e-22,-2.8085435720693405e-18,3.10543993032163e-16,1.7540320302051218e-16,-5.720384948101663e-16,-3.1384946180998934e-16,7.826429355708954e-16,-1.1194240588252967e-38,2.170964703468132e-16,-1.1959880167637476e-17,5.987626427870286e-16,-9.30793842385346e-17,-3.1737026184305345e-21,-3.2329396115413846e-16,5.666916000471985e-21,-7.320118444663604e-25,3.4456166833801416e-17,8.406417046918498e-20,7.195931285465543e-16,-1.0053396508651837e-23,2.4134001534202187e-19,6.868266138251054e-19,7.13367293516433e-22,-6.556365402518213e-16,-1.8126071932411973e-18,-8.269074646819728e-18
1.0,0.002,1.1353623228766814,46.108692435996076,300.0000000000047,1.1768085990313188,1.3476420998308956e-13,5.107032809589976e-17,7.887623282738741e-20,-1.7131279174395325e-16,-2.5075596602715833e-22,-1.6934626332260627e-16,3.1451735589191807e-24,-3.2284746238049617e-18,2.721702320218791e-17,2.4307806559130988e-34,-2.2752690578690968e-18,1.1413371028633461e-33,9.098226091310435e-16,0.9999999999998624,9.980139230750727e-19,1.10864667957362e-17,-2.8978933933408637e-18,-6.543580925499826e-16,-1.7397238468368093e-29,1.27279558061654e-19,-7.112693291231842e-16,6.20171501397311e-16,-4.673145783973263e-22,1.281356882414e-16,1.6501307864441248e-15,6.361824698437077e-19,6.839501298615449e-17,-2.3370353486174136e-22,-2.808543461171211e-18,3.10543992938686e-16,1.7540319740904914e-16,-5.720384969340343e-16,-3.138494590071336e-16,7.826429411183743e-16,-1.1194212957040525e-38,2.1709648732713963e-16,-1.1959880141580612e-17,5.987626407576506e-16,-9.30793844480808e-17,-3.173699149939141e-21,-3.232939595227749e-16,5.672769318255541e-21,-6.185417387600042e-25,3.445616691781155e-17,8.406416938436536e-20,7.195931276730317e-16,-1.0053398318191219e-23,4.2152080724090136e-19,6.890187574599214e-19,7.133672729237221e-22,-6.556365390093741e-16,-1.8126072925481584e-18,-8.269074658741629e-18
0.9999999999999999,0.0025,1.08349004395858,57.635865545130116,300.0000000000057,1.1768085990313188,1.2110754887533906e-12,5.107872452801603e-17,7.501351209849448e-20,-1.7126687296847835e-16,4.3276826085081377e-23,-1.6791606921958996e-16,4.476831025016908e-24,-3.2284740816795978e-18,2.721702310790732e-17,-2.22015957867032e-34,-2.266769234675106e-18,1.3519659884640967e-34,9.175575272536422e-16,0.9999999999987861,1.3526051628056312e-18,1.1092641933270102e-17,-2.897868912226223e-18,-6.54358089761864e-16,-9.526218872428245e-30,1.2726748749551019e-19,-7.112693169814604e-16,6.201714475229161e-16,4.240107731424963e-22,6.598005163854859e-17,1.7146315966468194e-15,6.361827226030718e-19,9.62254048864402e-17,-2.328864508772589e-22,-2.8085428138644945e-18,3.105439928672566e-16,1.7540319156712826e-16,-5.720384991412365e-16,-3.138494546383957e-16,7.826429944621656e-16,-1.1193482271962235e-38,2.1709694786499182e-16,-1.195987965814954e-17,5.98762638656619e-16,-9.307938466282826e-17,-3.1736955582810054e-21,-3.232939566873335e-16,5.678904249404788e-21,-5.049443979043327e-25,3.445616737261831e-17,8.406417068505021e-20,7.195931279083378e-16,-1.0053400160400804e-23,5.331115852017133e-18,7.505061441369569e-19,7.133672745449064e-22,-6.55636537712912e-16,-1.812607381134196e-18,-8.269074668666023e-18
0.9999999999999968,0.003,1.020090592431598,69.16303865583151,300.00000000002404,1.1768085990313188,1.0573047896147202e-11,5.229100319386106e-17,7.11738405732724e-20,-1.700642565863467e-16,4.441090333021003e-23,-1.305870261675782e-16,4.010764784189119e-23,-3.2284599427200136e-18,2.7217023007592714e-17,-3.225436856498501e-34,-2.2578910809301546e-18,1.3038432933108114e-34,9.09155848841969e-16,0.9999999999894239,1.0776748359750263e-17,1.1303066248928027e-17,-2.8978432354167153e-18,-6.54357983988635e-16,1.984098690664534e-30,1.272549961443611e-19,-7.112692898650892e-16,6.201709785905787e-16,2.8542024192262613e-20,3.321905303752356e-17,1.7486380578055052e-15,6.36183233634721e-19,1.240282445580169e-16,-2.3188030368806884e-22,-2.8085206156120224e-18,3.1054399384444527e-16,1.7540318543963856e-16,-5.7203850110430705e-16,-3.1384942468029387e-16,7.826443218798568e-16,-1.1173791103537063e-38,2.171092177872732e-16,-1.1959865075455261e-17,5.987626366417984e-16,-9.307938465560072e-17,-3.173691749310911e-21,-3.2329391233208707e-16,5.685353757868396e-21,-3.901685068084936e-25,3.445618042859323e-17,8.406425395586687e-20,7.195931673551369e-16,-1.0053401184872002e-23,1.3468524039909193e-16,2.4180979797026664e-18,7.133683344621467e-22,-6.55636536294204e-16,-1.81260743740514e-18,-8.269074579163393e-18
0.99999999999992,0.0035,0.9451639714548358,80.69021178414998,300.000000000418,1.1768085990313188,8.8712647510357e-11,6.05461417738736e-17,6.736885763214237e-20,-1.3994937212200542e-16,4.207481238697608e-23,8.033351305057461e-16,9.3729777573221e-22,-3.2281026707459586e-18,2.7217022878231245e-17,-8.216711244501758e-34,-2.2484914225385163e-18,1.2333344105591043e-34,8.931678085244498e-16,0.9999999999112797,2.5021616136984193e-16,1.8155507634913855e-17,-2.8978158605750057e-18,-6.543543633229234e-16,5.447768516706178e-29,1.2724727174279697e-19,-7.112687636363995e-16,6.201668058186974e-16,9.10365515557834e-19,1.6235123697450077e-17,1.7665442071175312e-15,6.361927720317924e-19,1.5111261340046907e-16,-2.274633919199563e-22,-2.8076697431816574e-18,3.1054403549891895e-16,1.7540317885921333e-16,-5.720384973434764e-16,-3.1384897049292284e-16,7.8267819196768165e-16,-1.0597506731593083e-38,2.174219338258917e-16,-1.1959435312644563e-17,5.987626409366333e-16,-9.307937865840254e-17,-3.1736872095589234e-21,-3.232924208121853e-16,5.692220675344297e-21,-2.730000844212457e-25,3.4456605563996934e-17,8.406701910595327e-20,7.19594491158422e-16,-1.0053376567415806e-23,3.3930044499651782e-15,4.565454098840216e-17,7.134162655738132e-22,-6.556365324738847e-16,-1.8126064152548568e-18,-8.26907062303518e-18
0.9999999999981749,0.004,0.8587102018952281,92.21738508916587,300.00000000836326,1.1768085990313188,7.073138499115523e-10,1.0778861013556745e-16,6.444034542889946e-20,5.717998517492631e-16,4.0246300031091527e-23,2.285859035152866e-14,2.2246870992737842e-20,-3.2195777725214233e-18,2.7217022420353005e-17,-5.818290787075079e-33,-2.238377907122317e-18,1.231244453838944e-34,8.763597624784114e-16,0.9999999992925712,5.991685300985154e-15,2.286480360001158e-16,-2.8977840405507402e-18,-6.542376404326795e-16,1.0770167003105205e-27,1.2741812459818337e-19,-7.112519802742618e-16,6.201309504342185e-16,2.7238756821903793e-17,7.632985649668e-18,1.7841859602978536e-15,6.365017210811042e-19,1.7800976471952272e-16,-1.5692722739217023e-22,-2.7767793877650783e-18,3.105455532741433e-16,1.7540317106111048e-16,-5.720384047278722e-16,-3.13841844480771e-16,7.834961345532611e-16,1.4061367281048136e-38,2.249440574563006e-16,-1.1947478784384795e-17,5.987628465330685e-16,-9.307922921259017e-17,-3.1736775185862138e-21,-3.232432864965509e-16,5.7006008410679884e-21,-1.5180350923178108e-25,3.4469738678078806e-17,8.41524912235153e-20,7.196354271479141e-16,-1.0052657292761563e-23,8.085541943181358e-14,1.1036012125811736e-15,7.154189758564672e-22,-6.55636433916496e-16,-1.8125661980421027e-18,-8.268925626160611e-18
0.9999999999619552,0.0045000000000000005,0.7607294065862061,103.74455987258773,300.0000001547176,1.1768085990313188,5.290272883738899e-09,3.569983744771137e-16,7.64810619253898e-20,1.621031573475514e-14,4.777203808717136e-23,5.070746300857629e-13,4.927560512250805e-19,-3.03047380029611e-18,2.7217017506858153e-17,-3.144799564678669e-32,-2.2272658754864514e-18,1.8070846729555667e-34,8.814846387718858e-16,0.9999999947072408,1.3397466165084415e-13,6.235069481121413e-15,-2.897688361966646e-18,-6.507426561790027e-16,3.5347952898242156e-26,1.3297476993816821e-19,-7.107429287672112e-16,6.198425473426058e-16,7.593410603943192e-16,3.411839510394488e-18,2.040271092262595e-15,6.460289418452381e-19,2.4046975735135473e-16,1.1164449494204133e-21,-1.7352978026577052e-18,3.10596740418053e-16,1.7540315724091468e-16,-5.720370450564669e-16,-3.1373708871286277e-16,8.018603699851709e-16,1.8399410660580413e-36,3.931450452360544e-16,-1.1638394438128689e-17,5.987688520529938e-16,-9.307589230838783e-17,-3.173619955126033e-21,-3.217381791170778e-16,5.740709451607776e-21,-2.3569847476400293e-26,3.48466739740059e-17,8.660568526799629e-20,7.208103932610933e-16,-1.0034444815728764e-23,1.7928508732052025e-12,2.516665604131818e-14,7.93062075836341e-22,-6.556326792248435e-16,-1.8112030957263554e-18,-8.26400642970849e-18
