z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,1.7646458298745813,-1.8217929014528978e-19,300.0,0.6516888434670964,-3.9454584443333235e-16,-7.57143166632994e-16,2.677364028867172e-17,-4.227858400031626e-18,-3.929917661539051e-16,-9.954570422585954e-18,-8.864985703659852e-23,4.221156965995601e-16,1.4272816329604604e-16,5.441756928588795e-17,-6.722555670113747e-17,1.1614595586711273e-15,3.669216843977625e-17,0.9999999999999992,4.421174800945136e-16,-4.894568606713115e-18,-8.399947910684827e-18,4.3969862372313525e-18,-1.889953226398298e-27,-9.416078168049538e-19,-2.508314367641008e-16,2.121108101228385e-20,5.888810118261245e-16,-1.3904543128499862e-15,-8.888333685166911e-18,-8.731593137068547e-20,1.6381412486583422e-18,-2.2426398646513233e-17,4.886298201721386e-18,2.0063871211867738e-18,1.9637938814023656e-16,3.7871086633613734e-16,-1.8899059804696205e-17,1.3975569378034893e-18,-9.458833541237791e-43,-8.419120213637787e-17,2.1083200627226636e-17,1.126271723220376e-18,2.9833343176544954e-16,1.2635153152934632e-20,-6.729526547408137e-20,-6.576692302605856e-18,-4.775407579286215e-23,1.1489928462877187e-17,-8.82053858872778e-21,1.9825520567261e-18,-4.212655891768641e-23,-3.391680170657284e-18,4.66372891905697e-18,6.678329601919717e-21,-1.0071691290063037e-16,2.687090826884834e-16,1.0658268805225445e-16
0.0005,1.7566349718141077,16.021716120961766,300.00000000000136,0.6516888434670935,-3.790672273795067e-16,-7.091317573230164e-16,2.59113982103808e-17,-4.2280187053718535e-18,-7.04240729050163e-18,-3.99406628882878e-16,-8.870561934499274e-23,4.2211391658044713e-16,1.4272826814406718e-16,8.158894421043867e-23,-6.706326070213222e-17,2.477607035490357e-21,1.444002923531534e-15,0.999999999999999,4.421174312956476e-16,-4.8945684882165406e-18,-8.399898813592276e-18,4.396987498752704e-18,-4.666331219904977e-27,-9.415501304227196e-19,-2.508314950649443e-16,2.1211030792260187e-20,5.888809002822997e-16,-8.61958165144676e-16,-4.819721296197456e-16,-8.731509356051855e-20,1.6386544687138234e-18,-2.242639864703283e-17,4.886297451626917e-18,2.0063871358084e-18,1.9637930618419344e-16,3.787108676952792e-16,-1.8899059114497532e-17,1.3975569414552233e-18,-3.8598668600558455e-41,-8.41911994859782e-17,2.1083200292126215e-17,1.1262719472735932e-18,2.9833343218708667e-16,1.2635087788833669e-20,-6.728468014173726e-20,-6.576627448438645e-18,-4.775407583873715e-23,1.1489928430060366e-17,-8.820538587625106e-21,1.982552057165987e-18,-4.212644780202423e-23,-3.3916780379454724e-18,4.663728948366527e-18,6.677921416452292e-21,-1.0071691295271131e-16,2.687090841213233e-16,1.0658268784359607e-16
0.001,1.7326023976326619,32.04343224192807,300.00000000000114,0.651688843467094,-1.8826902792766272e-16,-7.113310103410249e-16,2.5065919909366816e-17,-4.228175968982442e-18,-1.103712870996688e-19,-4.055722424597097e-16,-8.87622877007362e-23,4.2211387493570736e-16,1.427283695048505e-16,1.215568450181207e-28,-6.68990739588818e-17,5.214881721831067e-27,1.1080213805627307e-15,0.9999999999999992,4.421173819186918e-16,-4.894568371847266e-18,-8.399849017389787e-18,4.396988685985028e-18,-4.78197398640914e-27,-9.414916359153954e-19,-2.5083155410743164e-16,2.121097999171685e-20,5.888807903562667e-16,-5.315556731000841e-16,-8.124508470330907e-16,-8.731424059297375e-20,1.6391365056772957e-18,-2.2426398647347934e-17,4.8862967312110385e-18,2.0063871463656805e-18,1.9637922554327378e-16,3.787108692706898e-16,-1.8899058303258214e-17,1.3975569460842188e-18,-3.815290265150714e-41,-8.419119655220168e-17,2.1083199930969252e-17,1.126272248964741e-18,2.983334327811537e-16,1.2635021495533712e-20,-6.727434423482104e-20,-6.576563763489204e-18,-4.775407587087546e-23,1.148992838613959e-17,-8.820538586145876e-21,1.9825520579489087e-18,-4.212633518162467e-23,-3.391675629131002e-18,4.66372898747972e-18,6.677507433050604e-21,-1.0071691303029778e-16,2.6870908548754675e-16,1.0658268754924133e-16
0.0015,1.69254810733025,48.06514836290202,300.000000000001,0.6516888434670929,2.2352737625213255e-15,-7.135209461238144e-16,2.4229045514062966e-17,-4.228331485570227e-18,1.2067348715756788e-20,-4.048589075956155e-16,-8.882039216887627e-23,4.2211386467891494e-16,1.4272846993904939e-16,8.471900003367585e-31,-6.673137424347796e-17,1.5099881588528214e-32,9.023267315133397e-16,0.9999999999999969,4.4211733215200166e-16,-4.8945682539374296e-18,-8.39979802259942e-18,4.396989821881657e-18,-4.850845763982263e-27,-9.41431747239654e-19,-2.5083161467793657e-16,2.1210928083577016e-20,5.888806797104017e-16,-3.2488316548372313e-16,-1.0191724557118702e-15,-8.731336519954354e-20,1.6396056760219696e-18,-2.242639864750166e-17,4.8862960217065574e-18,2.0063871534054178e-18,1.963791444645766e-16,3.787108710472915e-16,-1.889905737972701e-17,1.3975569517077798e-18,-3.7698171093430415e-41,-8.41911933397116e-17,2.108319954309474e-17,1.126272622381975e-18,2.983334335324803e-16,1.26349536075558e-20,-6.726401604338137e-20,-6.576499787567506e-18,-4.7754075899639944e-23,1.1489928331951708e-17,-8.820538584317466e-21,1.9825520590250786e-18,-4.212621987487992e-23,-3.391663170001883e-18,4.663729111801633e-18,6.677083549611206e-21,-1.0071691313140953e-16,2.6870908681104517e-16,1.0658268717540373e-16
0.002,1.6364721009068992,64.08686448388694,300.00000000000097,0.6516888434670758,3.2463385186239884e-14,-7.156753388484264e-16,2.339302698270542e-17,-4.22848161326019e-18,1.3708606702131248e-20,-4.040241492896305e-16,-8.888042093643119e-23,4.221138549233419e-16,1.4272857350133227e-16,8.41390123152916e-31,-6.655831810191483e-17,4.377557507003786e-33,7.743122734380371e-16,0.9999999999999669,4.4211730800895803e-16,-4.894568001702055e-18,-8.399745256360445e-18,4.396990948659148e-18,-4.9202823488928005e-27,-9.413697939843077e-19,-2.5083167718838837e-16,2.1210874540592287e-20,5.888805670753332e-16,-1.95984008750769e-16,-1.1481036354808511e-15,-8.731245846388953e-20,1.6400747743352754e-18,-2.2426398647974678e-17,4.886295308673413e-18,2.0063871644919083e-18,1.9637906219047183e-16,3.7871087268531377e-16,-1.8899056536207697e-17,1.397556960317013e-18,-3.723004319792365e-41,-8.419119024660524e-17,2.1083199167528462e-17,1.1262729318660284e-18,2.983334341388893e-16,1.2634883371532266e-20,-6.725349557077565e-20,-6.5764350920281224e-18,-4.775407593368049e-23,1.1489928286891066e-17,-8.820538582756681e-21,1.9825520598207997e-18,-4.21261005791532e-23,-3.391262838409746e-18,4.663732339759364e-18,6.676645076888727e-21,-1.0071691321046096e-16,2.687090882293948e-16,1.0658268687447629e-16
0.0025,1.5643743783630246,80.10858060488722,300.0000000000009,0.6516888434668675,3.980923655259751e-13,-7.174339610753164e-16,2.2549602055735837e-17,-4.228438737865272e-18,1.3248873971423132e-20,-4.031734412937386e-16,-8.893677654708885e-23,4.2211384505975017e-16,1.4272868169648738e-16,8.360646073035425e-31,-6.637769907391122e-17,4.338652763602269e-33,6.951941925896386e-16,0.9999999999996012,4.4211832413723365e-16,-4.8945612059783446e-18,-8.399690027142065e-18,4.3969920866637204e-18,-4.991862117264773e-27,-9.413049676995903e-19,-2.5083174250266e-16,2.121081863134789e-20,5.888804516746174e-16,-1.1612880104209326e-16,-1.22797996363746e-15,-8.731150912315113e-20,1.640554043380993e-18,-2.2426398649551993e-17,4.886294580832837e-18,2.006387178390024e-18,1.9637897711763533e-16,3.7871087427513547e-16,-1.8899055696235107e-17,1.397557111209027e-18,-3.6744502892367477e-41,-8.419118623798126e-17,2.108319879210014e-17,1.1262732068740208e-18,2.983334346652535e-16,1.2634809864166468e-20,-6.724259221453243e-20,-6.576368354289112e-18,-4.7754075971877017e-23,1.1489928247062588e-17,-8.820538579344063e-21,1.982552061403259e-18,-4.2125975738406646e-23,-3.376319708882455e-18,4.663855654823535e-18,6.6761863740709534e-21,-1.0071691327684871e-16,2.687090897359619e-16,1.0658268661420435e-16
0.003,1.4762549397032767,96.13029672592026,300.0000000000009,0.6516888434644494,4.6419675261754685e-12,-7.157864108861041e-16,2.1689389958489005e-17,-4.221466672106414e-18,1.2744017034219532e-20,-4.020726197450208e-16,-8.876148077340895e-23,4.2211383508945404e-16,1.4272879597778582e-16,8.347480001396377e-31,-6.618673903017661e-17,4.328765294913799e-33,6.468966231751423e-16,0.9999999999953576,4.4215708314618397e-16,-4.894249983441339e-18,-8.399631459373331e-18,4.3969935600792166e-18,-5.0664529070293734e-27,-9.412362445101537e-19,-2.5083181169575265e-16,2.1210758918909645e-20,5.888803910986795e-16,-6.719902330495564e-17,-1.2769237784172217e-15,-8.731050194985748e-20,1.6410551215745089e-18,-2.242639867783968e-17,4.886293859029914e-18,2.0063871940598437e-18,1.9637888742913594e-16,3.787108759721805e-16,-1.8899054151234754e-17,1.3975624640199102e-18,-3.629775907819859e-41,-8.419114810335832e-17,2.1083198421161482e-17,1.1262734931394487e-18,2.9833343520931653e-16,1.2634731906700197e-20,-6.723104100627332e-20,-6.57629807468331e-18,-4.7754076012497123e-23,1.1489928221389974e-17,-8.820538481551645e-21,1.9825521082830115e-18,-4.2125843380246993e-23,-2.839571329304278e-18,4.668415938960443e-18,6.675700320406542e-21,-1.0071691334489913e-16,2.6870909131286694e-16,1.0658268634427326e-16
0.0035,1.3721137849750633,112.1520128471984,300.0000000000011,0.6516888434378261,5.136528564321394e-11,-6.879281643426893e-16,2.0801037304217864e-17,-3.980883072568268e-18,1.2222057256758121e-20,-3.9308267949821636e-16,-8.061330251441106e-23,4.2211382747130876e-16,1.427289187712164e-16,8.658259406476366e-31,-6.59817556074057e-17,4.5313727996949555e-33,6.179903879091942e-16,0.9999999999486342,4.434866885791235e-16,-4.880559053111597e-18,-8.399568385363794e-18,4.397009851397534e-18,-5.144497684288202e-27,-9.411622339167944e-19,-2.5083188453862896e-16,2.1210687611070092e-20,5.888829494860338e-16,-3.7698180572421313e-17,-1.3064331005429685e-15,-8.730938953218565e-20,1.6416964876230088e-18,-2.2426399454916198e-17,4.886294831771997e-18,2.0063872641126858e-18,1.96378791149424e-16,3.787108783821841e-16,-1.8899037711972367e-17,1.397747012740634e-18,-3.789669097365657e-41,-8.418994464420424e-17,2.108319899871096e-17,1.1262738130714724e-18,2.9833343579353947e-16,1.2634647846232971e-20,-6.721574022144624e-20,-6.576222704239703e-18,-4.7754076056775515e-23,1.1489928891670467e-17,-8.820534214822e-21,1.9825541577116647e-18,-4.2125700751078785e-23,1.5387083830103547e-17,4.8278589968640155e-18,6.675177531457033e-21,-1.0071691341001821e-16,2.687090929688637e-16,1.0658268606124633e-16
0.004,1.2519509146196421,128.1737289715897,300.00000000000716,0.6516888431635043,5.327776757308945e-10,-4.734788008917089e-16,1.986996082895122e-17,3.58938403588795e-18,1.1674986623269018e-20,-1.376027989026748e-16,1.7908896227059765e-22,4.221139041210864e-16,1.4272905291361824e-16,1.1286714580951587e-30,-6.57576083497141e-17,6.241250636618599e-33,6.015198684016951e-16,0.9999999994672206,4.859144077384664e-16,-4.31960217357413e-18,-8.399499140884288e-18,4.3976612145220256e-18,-5.216656071554689e-27,-9.410797903664162e-19,-2.508318933222507e-16,2.1210530193862285e-20,5.889903213724576e-16,-2.0307535129160203e-17,-1.3237908861600996e-15,-8.730696375282405e-20,1.6473188408152505e-18,-2.242641977617044e-17,4.88637982613476e-18,2.0063899385353755e-18,1.963786855163165e-16,3.7871089338672973e-16,-1.889871230982418e-17,1.4036786084545442e-18,-8.261202174375129e-41,-8.415152967147327e-17,2.1083236116681378e-17,1.1262746714277876e-18,2.98333437152217e-16,1.2634554603904008e-20,-6.707113674685718e-20,-6.5761401912436114e-18,-4.775407610230945e-23,1.1489958338950263e-17,-8.820358439039238e-21,1.9826386003126422e-18,-4.21255392723454e-23,5.919457792082359e-16,1.0020558821460333e-17,6.674608220932191e-21,-1.0071691324082978e-16,2.6870909469512976e-16,1.0658268628447277e-16
0.0045000000000000005,1.1157663323129596,144.19544513164044,300.0000000001669,0.6516888405603278,5.100765212262349e-09,9.62297901354814e-16,1.887838816570819e-17,2.2145999953019172e-16,1.1092376567419626e-20,7.183268990116482e-15,7.692371582607492e-21,4.2211643956609854e-16,1.4272919286983715e-16,2.9047462806336405e-30,-6.550717329681622e-17,1.786648751807348e-32,5.954022659529472e-16,0.9999999948992062,1.7248792948250504e-15,1.6700895854134808e-17,-8.399420957209763e-18,4.423236916727159e-18,-5.00621980219043e-27,-9.40937669200962e-19,-2.5082907895459866e-16,2.1209602689409642e-20,5.929193409567818e-16,-1.0358765502255922e-17,-1.332256694241213e-15,-8.725591844457939e-20,1.854069106196368e-18,-2.2426906175844897e-17,4.890185557890092e-18,2.006507842591972e-18,1.96378563775534e-16,3.7871114554187446e-16,-1.889249642271942e-17,1.5781541924510897e-18,2.9368773296260866e-39,-8.302630543145392e-17,2.108451401290079e-17,1.126294791978757e-18,2.9833346581646815e-16,1.2634444044191474e-20,-6.177826251003539e-20,-6.57604690747762e-18,-4.7754075982248627e-23,1.149107027687425e-17,-8.813733173655837e-21,1.985821465286088e-18,-4.212518185206033e-23,1.7283357119391752e-14,1.6477959562853822e-16,6.674147010965294e-21,-1.0071690267427387e-16,2.687090997038916e-16,1.0658271205181164e-16
