z (m),U (m/s),T (K),H2,H,O,O2,OH,H2O,HO2,H2O2,CH,CH2,CH2*,CH3,CH4,CO,CO2,HCO,CH2O,CH3O,C2H2,H2CC,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,CH2CHO,CH3CHO,aC3H5,C3H6,nC3H7,N2
0.0,0.6846675989769716,300.0,3.5193077148776025e-17,5.1827941782644476e-17,2.5630744756265226e-20,0.21811477182013575,-4.828878263589809e-15,-1.5516932012138234e-15,5.040204826511705e-18,6.694262764418798e-16,-2.091373068386269e-15,1.6078093838066937e-20,2.3468567859674853e-15,-3.080916598345579e-15,3.695793150240509e-16,-2.3178301912017753e-17,-4.687388279086362e-18,2.2580538041510016e-20,1.831203947963063e-15,2.38325135635821e-20,1.1533024769576747e-17,-2.929724812273911e-15,2.2174662815467232e-20,0.06380628580465539,2.163250476814922e-20,1.4137369878307095e-15,5.131733225150964e-20,-9.627320956181997e-16,2.8410293708726065e-20,-1.7181099761008933e-18,1.0506336634337242e-15,-1.507502745016729e-15,2.5370190851958725e-20,0.7180789423752181
0.020000000000000004,0.6846675989729017,299.9999999981827,3.5362935892805654e-17,3.317388303052652e-22,-1.0196460992845731e-19,0.21811477182015016,-1.1650963760184861e-17,-5.909921275011996e-15,3.704006941683909e-15,-2.3847623631204893e-15,-2.426432436029046e-22,-3.404104044528759e-21,6.597237636110518e-23,1.2363516446476186e-13,8.877806036586654e-16,-1.558101833803771e-14,-4.0938184767757285e-15,-1.8812296621274223e-20,-3.1664937126601676e-15,2.9801012456685403e-21,-2.5900067573083106e-17,-8.760722578953575e-22,-6.5101409729676954e-21,0.06380628580465347,1.0217486241729403e-19,-1.371673755598167e-13,5.151087222512777e-24,-4.2164014448836716e-15,-1.0096940252992205e-19,-1.4435329665236961e-18,2.2713232317695754e-15,2.02711642566157e-14,1.0657317325038424e-18,0.7180789423752181
0.04000000000000001,0.6846675989732981,299.99999999835956,4.921522272717293e-17,-5.261404160509638e-25,3.0537227047474524e-21,0.21811477182013117,8.323750100823861e-19,-5.575576574285155e-15,2.438819727580959e-14,-4.88339741995461e-15,-7.575289635194734e-26,4.0362696118776445e-24,-1.8939925981230097e-26,1.0808731187679057e-13,9.23610905614403e-16,-1.498767479013584e-14,-4.09524087063768e-15,6.574642214962739e-22,-2.1695455842893853e-15,-1.2391124866766442e-21,-2.3531983361951085e-17,-2.9745025196118e-25,5.256491110722233e-22,0.06380628580463998,-2.5892135451895295e-22,-1.286690518311571e-13,-1.487442473709527e-23,-3.9582917731278015e-15,8.130474541295638e-21,-1.8739127884411272e-18,2.270245497195375e-15,3.934743940080544e-14,9.31721444167448e-19,0.7180789423752181
0.05,0.6846675989738881,299.99999999862075,9.920286173203396e-16,2.1374511205658973e-24,2.745401255069655e-21,0.21811477182012318,7.128349905887487e-19,-5.431242548436374e-15,3.2882650864802055e-14,-5.9810918782247655e-15,2.0439515183733016e-25,1.6367812571852644e-23,5.112664179619662e-26,8.605861045434203e-14,9.388324187479956e-16,-1.4718930918033044e-14,-4.091184611734747e-15,5.842418116110185e-22,-1.7574440378365108e-15,7.36225441742243e-21,-2.153174880243367e-17,8.019250476890702e-25,4.48660562305252e-22,0.06380628580463459,9.85785778308722e-22,-1.094368776237065e-13,4.014798590359391e-23,-3.8455734097430815e-15,7.013119410524384e-21,-6.466102439371549e-19,2.271235516882653e-15,4.6948058030655855e-14,7.419504564483599e-19,0.7180789423752174
0.055,0.6846675989745049,299.9999999987677,3.284086432375538e-14,-3.1445256052405708e-24,1.9259397338622866e-21,0.21811477182011152,5.677332116707718e-19,-5.374492960291275e-15,3.6560736249936445e-14,-6.4952488052719174e-15,-3.412723732157666e-25,-1.1148216316928109e-23,-8.536386820265345e-26,7.365732781498761e-14,9.444105905111986e-16,-1.4626643411604568e-14,-4.093985467815419e-15,4.2138280779837365e-22,-1.5891759868491644e-15,-1.0236435941248712e-20,-2.1673755720910724e-17,-1.338945826877635e-24,3.5646505575033446e-22,0.06380628580463214,-1.4941199645620287e-21,-9.823567719988724e-14,-6.703120555771873e-23,-3.8031173024865754e-15,5.439369312183979e-21,-1.3844971267264405e-18,2.270229494302669e-15,5.019876955088547e-14,6.348330331479521e-19,0.7180789423751941
0.06,0.684667598987985,299.99999999891423,1.4783788892382235e-12,-5.334254469203973e-24,1.3704579149126009e-21,0.2181147718197297,4.489871453316062e-19,-5.279235710328527e-15,3.970008629849086e-14,-6.9733889980060654e-15,-5.66008499930781e-25,-2.302438428051489e-23,-1.415782147784158e-25,6.13356558158607e-14,9.496116605658564e-16,-1.4549657724063085e-14,-4.098538307759183e-15,3.07511215991697e-22,-1.4531929262678428e-15,-1.7848109313179188e-20,-2.2278437628839844e-17,-2.2206780076176753e-24,2.8144763145147047e-22,0.06380628580462369,-2.5217706491647023e-21,-8.691552302646064e-14,-1.1117846053500324e-22,-3.770759369842789e-15,4.216506888840779e-21,-2.631127250222281e-18,2.2686499203058914e-15,5.290553963599552e-14,5.285269993766212e-19,0.718078942374134
0.0625,0.6846675992137715,299.99999999902246,2.626234884635467e-11,7.842094756282814e-24,2.31711392587448e-21,0.2181147718132278,5.136314532539096e-19,-2.269936313889248e-15,4.120670321406323e-14,-7.195410884146682e-15,8.02680472078454e-25,4.323958949937999e-23,2.0077866642954311e-25,5.534689301662156e-14,1.0135146382790295e-15,-1.374089758001011e-14,-4.086668069269856e-15,4.781429052367593e-22,-1.3793352970807659e-15,2.513557622270272e-20,-1.949287329832933e-17,3.1492269881817825e-24,3.2445977900736237e-22,0.06380628580451086,3.6736671289436666e-21,-8.136981566561887e-14,1.5764638142167346e-22,-3.7487220392685046e-15,5.24403294687029e-21,-1.5262047430905253e-18,2.269729398155559e-15,5.412931998446377e-14,4.774454666487831e-19,0.7180789423559588
0.065,0.6846676044519998,300.0000000020959,6.01089134657057e-10,3.069230654610915e-23,4.105133004024863e-21,0.21811477166233156,6.653582340361506e-19,2.3133407899079907e-13,4.368760391821774e-14,-6.880558739736525e-15,3.1752583708794333e-24,1.5846982685644957e-22,7.942428352016175e-25,4.9686791524173804e-14,5.812609531215673e-15,5.042521258980938e-14,-3.149974843573315e-15,8.0537174102163165e-22,-1.0390065400415068e-15,1.0105425450176191e-19,1.747078520780896e-16,1.2457792105642862e-23,4.238648450654664e-22,0.06380628580191765,1.44267413938666e-20,-7.597252120991455e-14,6.236664465719545e-22,-3.701969975335101e-15,7.41091611616883e-21,5.939859929580166e-18,2.2739505971820513e-15,5.5234083608820385e-14,4.2959586471449636e-19,0.7180789419343139
0.06625,0.6846676508182612,300.000000094733,5.672524521228519e-09,-5.298918934601451e-23,-2.9903796713069066e-21,0.218114770327221,-3.650942313802958e-20,7.119722365277705e-12,7.706409480130717e-14,1.0150174357305895e-14,-5.510399180708433e-24,-2.647172841108069e-22,-1.3783492985177894e-24,4.858046553051642e-14,1.4811357706456325e-13,2.1094397720887154e-12,3.5823007852055076e-14,-5.110657796435282e-22,9.969697110880779e-15,-1.6098057144572357e-19,7.786488295299457e-15,-2.1619395685828328e-23,-3.407432802207151e-23,0.06380628577913972,-2.4811778507893455e-20,-7.034825992876597e-14,-1.0820767863599055e-21,-3.024696118296631e-15,-1.976507455262111e-21,1.8031177671424597e-16,2.2708589801242923e-15,5.580224234663264e-14,4.1660290266749435e-19,0.7180789382115632
0.0675,0.6846682179856408,300.0000039316224,6.702022970300236e-08,1.336579684791739e-22,1.5266945443169217e-20,0.21811475401792035,2.2061849828648286e-18,2.802852169395363e-10,1.4936721286563415e-12,7.546715323042294e-13,1.3846975908331763e-23,6.844802216795625e-22,3.463580573478193e-24,1.1327065289229649e-13,5.827266197750622e-12,9.103610868843962e-11,2.243807284790706e-12,2.947098139074509e-21,6.399650037750503e-13,5.87612615720407e-19,4.148901078695897e-13,5.432681652178617e-23,1.4014223104123096e-21,0.06380628550576892,6.288650062504486e-20,1.1492845042022866e-13,2.719144366354864e-21,4.236708545763569e-14,2.5381756396536885e-20,1.207352540446566e-14,2.3190672931207264e-15,5.91891707355058e-14,9.817262860964254e-19,0.7180788930730415
0.068125,0.6846709593732828,300.0000640246988,3.529785543906828e-07,-2.9010010836439177e-22,1.4809625479439431e-19,0.2181146755045524,4.834284986166308e-17,4.3766585528086624e-09,2.4564765866209393e-11,1.2976602353602672e-11,-3.132526323962128e-23,-1.0939419493078534e-21,-7.834686238077314e-24,1.128341465287202e-12,9.153046669368987e-11,1.542361101087389e-09,4.941428496803061e-11,3.2327404911452527e-20,1.4245660487746408e-11,5.5481926292413386e-17,8.627917885250528e-12,-1.228923796414088e-22,2.760868915891852e-20,0.06380628423208758,-1.3159067508719497e-19,4.269039154526659e-12,-6.149205974900654e-21,1.1755331827113914e-12,4.21246834203843e-19,3.1186225142562583e-13,3.443298502977191e-15,1.2145716163852994e-13,9.707690711316864e-18,0.7180786811574165
0.06875,0.6846909496779873,300.00133890910575,2.2255585239325552e-06,2.1149412886385533e-21,2.3490209324719414e-17,0.21811410880468282,6.988442271618963e-15,8.764754945856495e-08,5.336276719712242e-10,2.845275128390345e-10,3.6522465626739226e-23,6.015522015435e-20,9.470645917386803e-24,2.188197239239397e-11,1.8445470287292752e-09,3.3607962550127524e-08,1.4087964646482326e-09,5.009735270929042e-18,4.106011029808284e-10,1.3406907227194392e-14,2.3229167508742472e-10,1.4429729778043496e-22,3.949681007317274e-18,0.06380627502976949,8.45102868305506e-19,1.3145896127554316e-10,7.167737223343035e-21,3.930563407904655e-11,6.146953918773579e-17,1.0495443257043463e-11,4.751107581354701e-14,2.316747737878545e-12,1.8852055042870134e-16,0.7180772644315936
0.0690625,0.6847587473212415,300.0116394617262,7.058194716237457e-06,1.3338870007184153e-19,1.382988228946063e-15,0.2181122235462409,4.1273590525476266e-13,7.328257590633454e-07,4.807676205653626e-09,2.5808379162009338e-09,-8.594468119473838e-23,3.4421681721022168e-18,1.4054038670346328e-22,1.8330682915324512e-10,1.5510035925028988e-08,3.032862641336571e-07,1.6269335330304295e-08,2.950204585459439e-16,4.7882291930463135e-09,1.1582484533127456e-12,2.544342785904628e-09,1.6529056639236108e-22,2.3272291582850977e-16,0.06380623562526382,4.4965774113101615e-17,1.6080472657727879e-09,-1.5536276196889177e-20,5.246277056965894e-10,3.619718392971239e-15,1.414869986966065e-10,6.949541335590716e-13,3.301353754921734e-11,1.5788425226482906e-15,0.7180733975285429
0.06937499999999999,0.6851890635539082,300.12596968731657,2.5298158145132888e-05,1.1499472710063488e-17,6.070383002800907e-14,0.21810050120373856,1.8113590623730517e-11,7.611979546358344e-06,5.400639935168866e-08,2.9227924109087273e-08,-8.148084583553696e-23,1.5357037861704475e-16,7.382024040524901e-20,1.906504896835117e-09,1.620857872306622e-07,3.416880494545539e-06,2.3779549983947077e-07,1.2985045605221675e-14,7.063083088126523e-08,7.668676049785681e-11,3.5176977627362775e-08,2.283135652192534e-19,1.0235880797533466e-14,0.06380579779353905,3.842217992600123e-15,2.495202577637821e-08,9.429941693819063e-19,8.904584047005075e-09,1.5914866566825007e-13,2.431393578109539e-09,1.3603351311860487e-11,6.379238386737854e-10,1.6502015070463816e-14,0.7180567461200175
0.06953124999999999,0.6865760875079576,300.61534334743413,5.338371427205842e-05,3.5604488613383823e-16,9.34988276875117e-13,0.21806305708541177,2.7712490160243846e-10,3.5953061967877816e-05,2.714280129291562e-07,1.4808614550942964e-07,-3.992061195679232e-21,2.511623741339265e-15,5.34081973446604e-18,9.03234988060603e-09,7.695430073955526e-07,1.727688211584271e-05,1.5028542373514214e-06,2.0197887954625681e-13,4.4826498665554034e-07,1.8516964077656363e-09,2.118359199783303e-07,1.6529088185723328e-17,1.5819729432149683e-13,0.06380329275739728,1.2823990026598482e-13,1.6611674170613208e-07,1.0583766832302774e-16,6.38715015731542e-08,2.4589629926928492e-12,1.7715933540625786e-08,1.1226219831164775e-10,5.2130099317371e-09,7.978448901244933e-14,0.7180234202919316
