z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,CH,CH2,CH2*,CH3,CH4,CO,CO2,HCO,CH2O,CH3O,C2H2,H2CC,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,CH2CHO,CH3CHO,aC3H5,C3H6,nC3H7,N2
0.0,0.6846675989769716,0.0,300.0,1.1698498187350024,5.027608801112925e-16,1.4808060980200708e-15,4.613456625307274e-20,0.1963000000000033,-8.176713395129815e-15,-2.4804687112663463e-15,4.397587263376011e-18,5.667679430755638e-16,-4.626204194349666e-15,3.300976175349022e-20,4.81830645812816e-15,-5.901339789892702e-15,6.63433629443316e-16,-2.3830393689732756e-17,-3.06725898407505e-18,2.2409420885096382e-20,1.756321825402003e-15,2.211555928307795e-20,1.2755765188207974e-17,-3.240336556808087e-15,2.3611619927197432e-20,0.06550000000000035,2.14365408175078e-20,1.3539708188154942e-15,3.601956410217697e-20,-6.595378976080043e-16,1.9007268257639456e-20,-1.1231630447119687e-18,7.366598009153887e-16,-1.031679230903109e-15,1.6956275518960425e-20,0.7382000000000105
0.020000000000000004,0.6846675989729017,0.0,299.9999999981827,1.1698498187419542,5.051874463157729e-16,9.478301973213347e-21,-1.8353321750678796e-19,0.19629999999999365,-1.972851379633725e-17,-9.44734100609932e-15,3.231752341596189e-15,-2.0190525929960455e-15,-5.367369448590942e-22,-6.988929448087106e-21,1.3544717725402014e-22,2.3681689919082467e-13,1.5936592879832833e-15,-1.6019370292602177e-14,-2.6788481675575723e-15,-1.8669735505255945e-20,-3.0370085340460442e-15,2.7654072488963054e-21,-2.864601324644984e-17,-9.689541324053868e-22,-6.9320095464519e-21,0.06549999999999083,1.0124928352985658e-19,-1.313685822753019e-13,3.615540954035547e-24,-2.888525849596737e-15,-6.755130866915782e-20,-9.436665314650721e-19,1.5925555956976319e-15,1.3872836529754637e-14,7.122863596525498e-19,0.7381999999999255
0.04000000000000001,0.6846675989732981,0.0,299.99999999835956,1.1698498187412891,7.030782954438235e-16,-1.50326621066768e-23,5.496608615176235e-21,0.19629999999998068,1.4094560937743833e-18,-8.912872228198185e-15,2.1278743505155964e-14,-4.134515193575954e-15,-1.675685568179817e-25,8.286821783902456e-24,-3.888535858578208e-26,2.070357745819898e-13,1.6579784376332256e-15,-1.5409333785465993e-14,-2.6797789311496758e-15,6.524819040767014e-22,-2.080827897477037e-15,-1.1498437034091013e-21,-2.6026862872059244e-17,-3.2898616321353806e-25,5.597120970447477e-22,0.06549999999997835,-2.5657584473720123e-22,-1.2322952781432795e-13,-1.0440338026047686e-23,-2.711702919274909e-15,5.439511194522926e-21,-1.225014476527571e-18,1.591799933886606e-15,2.6927935058967562e-14,6.22720010519973e-19,0.738199999999941
0.05,0.6846675989738881,0.0,299.99999999862075,1.1698498187402835,1.4171911669760515e-14,6.107035210519316e-23,4.9416393201882675e-21,0.19629999999997563,1.2070396265758686e-18,-8.682146183379038e-15,2.8690168674982494e-14,-5.06387523236316e-15,4.521305753755986e-25,3.360458017376223e-23,1.0496755908667182e-25,1.6484091208757767e-13,1.6853026500372318e-15,-1.513302914942241e-14,-2.6771246606218582e-15,5.798143795773737e-22,-1.6855781268973602e-15,6.831859073161157e-21,-2.3814561860633102e-17,8.8694577625873e-25,4.777345550474022e-22,0.06549999999997354,9.768557686923743e-22,-1.0481039972798107e-13,2.817981544208461e-23,-2.6344830647100723e-15,4.6919698657582595e-21,-4.2270212060027953e-19,1.5924940937361654e-15,3.212951788085801e-14,4.958857595659153e-19,0.7381999999999485
0.055,0.6846675989745049,0.0,299.9999999987677,1.1698498187392303,4.691576636285381e-13,-8.984405962224575e-23,3.4666333380551434e-21,0.19629999999988457,9.613395706677338e-19,-8.591428780179412e-15,3.189930441449241e-14,-5.499184801488404e-15,-7.549086809288809e-25,-2.2888283169905418e-23,-1.752596408569865e-25,1.4108688293768137e-13,1.6953160533523544e-15,-1.5038145252434386e-14,-2.6789574405111875e-15,4.1818953455996982e-22,-1.5241909418179537e-15,-9.498977323648177e-21,-2.3971624465047084e-17,-1.4809019237024013e-24,3.79564617678388e-22,0.06549999999994414,-1.480585070931278e-21,-9.408273352121388e-14,-4.7049109910818326e-23,-2.6053977024903547e-15,3.639087745060753e-21,-9.050736157048875e-19,1.5917887133357774e-15,3.435418484889038e-14,4.242933717527641e-19,0.7381999999996214
0.06,0.684667598987985,0.0,299.99999999891423,1.1698498187161972,2.111980911287197e-11,-1.5240806936457618e-22,2.466782845078397e-21,0.19629999999577188,7.602675000285727e-19,-8.439154717162088e-15,3.463839265805445e-14,-5.904000899987034e-15,-1.2520343385631429e-24,-4.7271116045247055e-23,-2.9067271197055183e-25,1.1748534393710758e-13,1.7046525195207271e-15,-1.495899367108867e-14,-2.6819366558327537e-15,3.051808709447906e-22,-1.3937685399339436e-15,-1.6562286581548832e-20,-2.464041522720586e-17,-2.4561160484068116e-24,2.996859324722571e-22,0.06549999999867782,-2.4989265011854015e-21,-8.324114236989048e-14,-7.803600674945897e-23,-2.5832302864338027e-15,2.820959134265732e-21,-1.7200207986875384e-18,1.5906811829580793e-15,3.620659837703789e-14,3.532432795936578e-19,0.7381999999843579
0.0625,0.6846675992137715,0.0,299.99999999902246,1.1698498183304171,3.751783783883427e-10,2.240610244759809e-22,4.170735064798473e-21,0.19629999992525746,8.697293560249969e-19,-3.6286206556807854e-15,3.595291846145732e-14,-6.091975126288193e-15,1.775562582060431e-24,8.877473670514257e-23,4.122165232060752e-25,1.0601417190822087e-13,1.819365065625744e-15,-1.4127480093692391e-14,-2.6741691960854316e-15,4.745194991915332e-22,-1.3229311178906711e-15,2.3324746019357494e-20,-2.1559523153551685e-17,3.483110526005117e-24,3.4548534264819267e-22,0.06549999997698579,3.6403882109849225e-21,-7.792988147974747e-14,1.1065177572524412e-22,-2.5681331939444603e-15,3.508402340369044e-21,-9.977107340911666e-19,1.5914380665557718e-15,3.704410846082065e-14,3.1910271870596257e-19,0.7381999997225044
0.065,0.6846676044519998,0.0,300.0000000020959,1.1698498093803413,8.587032576705922e-09,8.769276334234582e-22,7.389115331596082e-21,0.19629999828964753,1.1266474829896752e-18,3.698005119523142e-13,3.811750824344904e-14,-5.825406366929836e-15,7.023803499334663e-24,3.2535269669030684e-22,1.6306514204365348e-24,9.517253328717245e-14,1.0434243612282811e-14,5.1843860817086123e-14,-2.0612306867079573e-15,7.99268561986678e-22,-9.965191755187778e-16,9.377405083283213e-20,1.9323051535605616e-16,1.3778576979448037e-23,4.513320281580828e-22,0.06549999947387919,1.4296052703881523e-20,-7.276075876466282e-14,4.377506075549638e-22,-2.5361047856887176e-15,4.958106768400349e-21,3.883005862936019e-18,1.5943977802438198e-15,3.7800167615139076e-14,2.8712223050322624e-19,0.73819999364892
0.06625,0.6846676508182612,0.0,300.000000094733,1.169849730158473,8.103648321666643e-08,-1.5139846595755517e-21,-5.3825926627356766e-21,0.19629998385530853,-6.182120368679729e-20,1.138127512227952e-11,6.723854840706647e-14,8.593616968791422e-15,-1.2189231211569796e-23,-5.434881715251655e-22,-2.8298739256514067e-24,9.305341559202711e-14,2.658793839321708e-13,2.168785989335365e-12,2.344129136392937e-14,-5.07192843297673e-22,9.56201264621784e-15,-1.4938311451265955e-19,8.612017300839626e-15,-2.391149933307524e-23,-3.628240161141197e-23,0.06549999503508262,-2.4587012384191463e-20,-6.737426037236474e-14,-7.59508133430329e-22,-2.072125337285157e-15,-1.3223377754525111e-21,1.178734258451543e-16,1.5922299620635071e-15,3.818899190488914e-14,2.784383100709903e-19,0.7381999400591287
0.0675,0.6846682179856408,0.0,300.0000039316224,1.1698487610898267,9.574360180715247e-07,3.8188157125488596e-21,2.7480016097063255e-20,0.19629980907874428,3.7357177472942436e-18,4.480512583678015e-10,1.3032303055686048e-12,6.389400386874503e-13,3.063005922722451e-23,1.4052977385807762e-21,7.111033734996443e-24,2.1696400860849234e-13,1.0460544629015453e-11,9.359720937902738e-11,1.4682658041115232e-12,2.924762183432423e-21,6.137948224855818e-13,5.452790376114758e-19,4.588766767908001e-13,6.008653509274961e-23,1.4922356088970524e-21,0.06549994133393215,6.231677056648999e-20,1.1006971651361878e-13,1.9085619467155613e-21,2.9024350285272814e-14,1.6981078329646e-20,7.892699338305244e-15,1.6260302594502843e-15,4.050684745814686e-14,6.561403757957241e-19,0.7381992915943073
